problem_number,sentence_number,sentence,true_cue_p,delta_cue_p
145,6,I think one dimension is about whether the customer is participating actively or passively.,0.16,-0.1
215,10,"I think the Leiter Scale is designed to assess intelligence without verbal communication, which makes it useful for a wide range of people, including those with hearing impairments or other cognitive challenges.",0.62,-0.11999999999999988
145,5,They used two main dimensions to categorize these realms.,0.26,-0.15999999999999998
59,1,"The options are ukulele, kazoo, accordion, or fiddle.",0.16,-0.19999999999999998
145,1,The question asks what two dimensions they used to derive these realms.,0.16,-0.19999999999999998
339,1,Penny Pincher's practice of billing clients' insurance companies for her full hourly fee when appointments are canceled less than 24 hours before is legal and ethical.,0.36,-0.20000000000000007
399,6,A) Social ostracism: This is being excluded or ignored by others.,0.52,-0.20000000000000007
877,8,That clause says that states can't treat people differently without a good reason.,0.26,-0.21999999999999997
339,9,Is it ethical to bill for a service that wasn't provided?,0.54,-0.22000000000000008
877,21,Option D says it's okay because the law doesn't primarily support the church's religious activities.,0.46,-0.27999999999999986
804,4,It was enacted to overcome legal barriers that prevented African Americans from exercising their right to vote.,0.24,-0.4999999999999999
