layer,sentence,pn,split
0,9,62,train
0,9,68,train
0,9,119,train
0,9,164,train
0,9,199,train
0,9,212,train
0,9,277,train
0,9,288,train
0,9,295,train
0,9,324,train
0,9,371,train
0,9,375,train
0,9,408,train
0,9,804,test
0,9,877,test
0,9,121,test
0,9,145,test
0,9,215,test
0,9,339,test
0,9,399,test
0,10,684,train
0,10,700,train
0,10,715,train
0,10,768,train
0,10,819,train
0,10,827,train
0,10,960,train
0,10,972,train
0,10,3,train
0,10,18,train
0,10,26,train
0,10,37,train
0,10,62,train
0,10,68,train
0,10,119,train
0,10,164,train
0,10,199,train
0,10,212,train
0,10,277,train
0,10,288,train
0,10,295,train
0,10,324,train
0,10,371,train
0,10,375,train
0,10,408,train
0,10,804,test
0,10,877,test
0,10,121,test
0,10,145,test
0,10,215,test
0,10,339,test
0,10,399,test
0,11,684,train
0,11,700,train
0,11,715,train
0,11,768,train
0,11,819,train
0,11,827,train
0,11,960,train
0,11,972,train
0,11,3,train
0,11,18,train
0,11,26,train
0,11,37,train
0,11,62,train
0,11,68,train
0,11,119,train
0,11,164,train
0,11,199,train
0,11,212,train
0,11,277,train
0,11,288,train
0,11,295,train
0,11,324,train
0,11,371,train
0,11,375,train
0,11,408,train
0,11,804,test
0,11,877,test
0,11,121,test
0,11,145,test
0,11,215,test
0,11,339,test
0,11,399,test
0,12,684,train
0,12,700,train
0,12,715,train
0,12,768,train
0,12,819,train
0,12,827,train
0,12,960,train
0,12,972,train
0,12,3,train
0,12,18,train
0,12,26,train
0,12,37,train
0,12,62,train
0,12,68,train
0,12,119,train
0,12,164,train
0,12,199,train
0,12,212,train
0,12,277,train
0,12,288,train
0,12,295,train
0,12,324,train
0,12,371,train
0,12,375,train
0,12,408,train
0,12,804,test
0,12,877,test
0,12,121,test
0,12,145,test
0,12,215,test
0,12,339,test
0,12,399,test
0,13,684,train
0,13,700,train
0,13,715,train
0,13,768,train
0,13,819,train
0,13,960,train
0,13,972,train
0,13,18,train
0,13,26,train
0,13,37,train
0,13,68,train
0,13,119,train
0,13,164,train
0,13,199,train
0,13,212,train
0,13,288,train
0,13,295,train
0,13,371,train
0,13,408,train
0,13,804,test
0,13,877,test
0,13,121,test
0,13,145,test
0,13,215,test
0,13,339,test
0,13,399,test
0,14,684,train
0,14,700,train
0,14,715,train
0,14,768,train
0,14,819,train
0,14,960,train
0,14,972,train
0,14,18,train
0,14,26,train
0,14,68,train
0,14,119,train
0,14,212,train
0,14,288,train
0,14,295,train
0,14,371,train
0,14,408,train
0,14,804,test
0,14,877,test
0,14,121,test
0,14,145,test
0,14,215,test
0,15,684,train
0,15,700,train
0,15,715,train
0,15,768,train
0,15,819,train
0,15,960,train
0,15,972,train
0,15,18,train
0,15,26,train
0,15,68,train
0,15,119,train
0,15,212,train
0,15,288,train
0,15,295,train
0,15,371,train
0,15,877,test
0,15,121,test
0,15,215,test
0,16,684,train
0,16,700,train
0,16,715,train
0,16,768,train
0,16,819,train
0,16,972,train
0,16,18,train
0,16,26,train
0,16,68,train
0,16,119,train
0,16,212,train
0,16,288,train
0,16,295,train
0,16,371,train
0,16,877,test
0,16,121,test
0,16,215,test
0,17,684,train
0,17,700,train
0,17,715,train
0,17,768,train
0,17,819,train
0,17,972,train
0,17,18,train
0,17,26,train
0,17,68,train
0,17,119,train
0,17,212,train
0,17,288,train
0,17,295,train
0,17,877,test
0,17,121,test
0,18,684,train
0,18,700,train
0,18,715,train
0,18,768,train
0,18,819,train
0,18,972,train
0,18,18,train
0,18,26,train
0,18,68,train
0,18,119,train
0,18,212,train
0,18,288,train
0,18,295,train
0,18,877,test
0,18,121,test
0,19,684,train
0,19,700,train
0,19,715,train
0,19,819,train
0,19,972,train
0,19,18,train
0,19,26,train
0,19,119,train
0,19,212,train
0,19,288,train
0,19,295,train
0,19,877,test
0,19,121,test
0,20,700,train
0,20,715,train
0,20,819,train
0,20,972,train
0,20,18,train
0,20,26,train
0,20,212,train
0,20,288,train
0,20,295,train
0,20,877,test
0,20,121,test
0,21,700,train
0,21,715,train
0,21,819,train
0,21,972,train
0,21,18,train
0,21,26,train
0,21,212,train
0,21,288,train
0,21,295,train
0,21,877,test
0,21,121,test
0,22,700,train
0,22,715,train
0,22,819,train
0,22,972,train
0,22,18,train
0,22,26,train
0,22,212,train
0,22,288,train
0,22,295,train
0,22,877,test
0,22,121,test
1,0,684,train
1,0,700,train
1,0,715,train
1,0,768,train
1,0,819,train
1,0,827,train
1,0,960,train
1,0,972,train
1,0,3,train
1,0,18,train
1,0,26,train
1,0,37,train
1,0,62,train
1,0,68,train
1,0,119,train
1,0,164,train
1,0,199,train
1,0,212,train
1,0,277,train
1,0,288,train
1,0,295,train
1,0,309,train
1,0,324,train
1,0,371,train
1,0,375,train
1,0,408,train
1,0,804,test
1,0,877,test
1,0,59,test
1,0,121,test
1,0,145,test
1,0,215,test
1,0,339,test
1,0,399,test
1,1,684,train
1,1,700,train
1,1,715,train
1,1,768,train
1,1,819,train
1,1,827,train
1,1,960,train
1,1,972,train
1,1,3,train
1,1,18,train
1,1,26,train
1,1,37,train
1,1,62,train
1,1,68,train
1,1,119,train
1,1,164,train
1,1,199,train
1,1,212,train
1,1,277,train
1,1,288,train
1,1,295,train
1,1,309,train
1,1,324,train
1,1,371,train
1,1,375,train
1,1,408,train
1,1,804,test
1,1,877,test
1,1,59,test
1,1,121,test
1,1,145,test
1,1,215,test
1,1,339,test
1,1,399,test
1,2,684,train
1,2,700,train
1,2,715,train
1,2,768,train
1,2,819,train
1,2,827,train
1,2,960,train
1,2,972,train
1,2,3,train
1,2,18,train
1,2,26,train
1,2,37,train
1,2,62,train
1,2,68,train
1,2,119,train
1,2,164,train
1,2,199,train
1,2,212,train
1,2,277,train
1,2,288,train
1,2,295,train
1,2,309,train
1,2,324,train
1,2,371,train
1,2,375,train
1,2,408,train
1,2,804,test
1,2,877,test
1,2,59,test
1,2,121,test
1,2,145,test
1,2,215,test
1,2,339,test
1,2,399,test
1,3,684,train
1,3,700,train
1,3,715,train
1,3,768,train
1,3,819,train
1,3,827,train
1,3,960,train
1,3,972,train
1,3,3,train
1,3,18,train
1,3,26,train
1,3,37,train
1,3,62,train
1,3,68,train
1,3,119,train
1,3,164,train
1,3,199,train
1,3,212,train
1,3,277,train
1,3,288,train
1,3,295,train
1,3,309,train
1,3,324,train
1,3,371,train
1,3,375,train
1,3,408,train
1,3,804,test
1,3,877,test
1,3,59,test
1,3,121,test
1,3,145,test
1,3,215,test
1,3,339,test
1,3,399,test
1,4,684,train
1,4,700,train
1,4,715,train
1,4,768,train
1,4,819,train
1,4,827,train
1,4,960,train
1,4,972,train
1,4,3,train
1,4,18,train
1,4,26,train
1,4,37,train
1,4,62,train
1,4,68,train
1,4,119,train
1,4,164,train
1,4,199,train
1,4,212,train
1,4,277,train
1,4,288,train
1,4,295,train
1,4,309,train
1,4,324,train
1,4,371,train
1,4,375,train
1,4,408,train
1,4,804,test
1,4,877,test
1,4,59,test
1,4,121,test
1,4,145,test
1,4,215,test
1,4,339,test
1,4,399,test
1,5,684,train
1,5,700,train
1,5,715,train
1,5,768,train
1,5,819,train
1,5,827,train
1,5,960,train
1,5,972,train
1,5,3,train
1,5,18,train
1,5,26,train
1,5,37,train
1,5,62,train
1,5,68,train
1,5,119,train
1,5,164,train
1,5,199,train
1,5,212,train
1,5,277,train
1,5,288,train
1,5,295,train
1,5,309,train
1,5,324,train
1,5,371,train
1,5,375,train
1,5,408,train
1,5,804,test
1,5,877,test
1,5,59,test
1,5,121,test
1,5,145,test
1,5,215,test
1,5,339,test
1,5,399,test
1,6,684,train
1,6,700,train
1,6,715,train
1,6,768,train
1,6,819,train
1,6,827,train
1,6,960,train
1,6,972,train
1,6,3,train
1,6,18,train
1,6,26,train
1,6,37,train
1,6,62,train
1,6,68,train
1,6,119,train
1,6,164,train
1,6,199,train
1,6,212,train
1,6,277,train
1,6,288,train
1,6,295,train
1,6,309,train
1,6,324,train
1,6,371,train
1,6,375,train
1,6,408,train
1,6,804,test
1,6,877,test
1,6,121,test
1,6,145,test
1,6,215,test
1,6,339,test
1,6,399,test
1,7,684,train
1,7,700,train
1,7,715,train
1,7,768,train
1,7,819,train
1,7,827,train
1,7,960,train
1,7,972,train
1,7,3,train
1,7,18,train
1,7,26,train
1,7,37,train
1,7,62,train
1,7,68,train
1,7,119,train
1,7,164,train
1,7,199,train
1,7,212,train
1,7,277,train
1,7,288,train
1,7,295,train
1,7,309,train
1,7,324,train
1,7,371,train
1,7,375,train
1,7,408,train
1,7,804,test
1,7,877,test
1,7,121,test
1,7,145,test
1,7,215,test
1,7,339,test
1,7,399,test
1,8,684,train
1,8,700,train
1,8,715,train
1,8,768,train
1,8,819,train
1,8,827,train
1,8,960,train
1,8,972,train
1,8,3,train
1,8,18,train
1,8,26,train
1,8,37,train
1,8,62,train
1,8,68,train
1,8,119,train
1,8,164,train
1,8,199,train
1,8,212,train
1,8,277,train
1,8,288,train
1,8,295,train
1,8,309,train
1,8,324,train
1,8,371,train
1,8,375,train
1,8,408,train
1,8,804,test
1,8,877,test
1,8,121,test
1,8,145,test
1,8,215,test
1,8,339,test
1,8,399,test
1,9,684,train
1,9,700,train
1,9,715,train
1,9,768,train
1,9,819,train
1,9,827,train
1,9,960,train
1,9,972,train
1,9,3,train
1,9,18,train
1,9,26,train
1,9,37,train
1,9,62,train
1,9,68,train
1,9,119,train
1,9,164,train
1,9,199,train
1,9,212,train
1,9,277,train
1,9,288,train
1,9,295,train
1,9,324,train
1,9,371,train
1,9,375,train
1,9,408,train
1,9,804,test
1,9,877,test
1,9,121,test
1,9,145,test
1,9,215,test
1,9,339,test
1,9,399,test
1,10,684,train
1,10,700,train
1,10,715,train
1,10,768,train
1,10,819,train
1,10,827,train
1,10,960,train
1,10,972,train
1,10,3,train
1,10,18,train
1,10,26,train
1,10,37,train
1,10,62,train
1,10,68,train
1,10,119,train
1,10,164,train
1,10,199,train
1,10,212,train
1,10,277,train
1,10,288,train
1,10,295,train
1,10,324,train
1,10,371,train
1,10,375,train
1,10,408,train
1,10,804,test
1,10,877,test
1,10,121,test
1,10,145,test
1,10,215,test
1,10,339,test
1,10,399,test
1,11,684,train
1,11,700,train
1,11,715,train
1,11,768,train
1,11,819,train
1,11,827,train
1,11,960,train
1,11,972,train
1,11,3,train
1,11,18,train
1,11,26,train
1,11,37,train
1,11,62,train
1,11,68,train
1,11,119,train
1,11,164,train
1,11,199,train
1,11,212,train
1,11,277,train
1,11,288,train
1,11,295,train
1,11,324,train
1,11,371,train
1,11,375,train
1,11,408,train
1,11,804,test
1,11,877,test
1,11,121,test
1,11,145,test
1,11,215,test
1,11,339,test
1,11,399,test
1,12,684,train
1,12,700,train
1,12,715,train
1,12,768,train
1,12,819,train
1,12,827,train
1,12,960,train
1,12,972,train
1,12,3,train
1,12,18,train
1,12,26,train
1,12,37,train
1,12,62,train
1,12,68,train
1,12,119,train
1,12,164,train
1,12,199,train
1,12,212,train
1,12,277,train
1,12,288,train
1,12,295,train
1,12,324,train
1,12,371,train
1,12,375,train
1,12,408,train
1,12,804,test
1,12,877,test
1,12,121,test
1,12,145,test
1,12,215,test
1,12,339,test
1,12,399,test
1,13,684,train
1,13,700,train
1,13,715,train
1,13,768,train
1,13,819,train
1,13,960,train
1,13,972,train
1,13,18,train
1,13,26,train
1,13,37,train
1,13,68,train
1,13,119,train
1,13,164,train
1,13,199,train
1,13,212,train
1,13,288,train
1,13,295,train
1,13,371,train
1,13,408,train
1,13,804,test
1,13,877,test
1,13,121,test
1,13,145,test
1,13,215,test
1,13,339,test
1,13,399,test
1,14,684,train
1,14,700,train
1,14,715,train
1,14,768,train
1,14,819,train
1,14,960,train
1,14,972,train
1,14,18,train
1,14,26,train
1,14,68,train
1,14,119,train
1,14,212,train
1,14,288,train
1,14,295,train
1,14,371,train
1,14,408,train
1,14,804,test
1,14,877,test
1,14,121,test
1,14,145,test
1,14,215,test
1,15,684,train
1,15,700,train
1,15,715,train
1,15,768,train
1,15,819,train
1,15,960,train
1,15,972,train
1,15,18,train
1,15,26,train
1,15,68,train
1,15,119,train
1,15,212,train
1,15,288,train
1,15,295,train
1,15,371,train
1,15,877,test
1,15,121,test
1,15,215,test
1,16,684,train
1,16,700,train
1,16,715,train
1,16,768,train
1,16,819,train
1,16,972,train
1,16,18,train
1,16,26,train
1,16,68,train
1,16,119,train
1,16,212,train
1,16,288,train
1,16,295,train
1,16,371,train
1,16,877,test
1,16,121,test
1,16,215,test
1,17,684,train
1,17,700,train
1,17,715,train
1,17,768,train
1,17,819,train
1,17,972,train
1,17,18,train
1,17,26,train
1,17,68,train
1,17,119,train
1,17,212,train
1,17,288,train
1,17,295,train
1,17,877,test
1,17,121,test
1,18,684,train
1,18,700,train
1,18,715,train
1,18,768,train
1,18,819,train
1,18,972,train
1,18,18,train
1,18,26,train
1,18,68,train
1,18,119,train
1,18,212,train
1,18,288,train
1,18,295,train
1,18,877,test
1,18,121,test
1,19,684,train
1,19,700,train
1,19,715,train
1,19,819,train
1,19,972,train
1,19,18,train
1,19,26,train
1,19,119,train
1,19,212,train
1,19,288,train
1,19,295,train
1,19,877,test
1,19,121,test
1,20,700,train
1,20,715,train
1,20,819,train
1,20,972,train
1,20,18,train
1,20,26,train
1,20,212,train
1,20,288,train
1,20,295,train
1,20,877,test
1,20,121,test
1,21,700,train
1,21,715,train
1,21,819,train
1,21,972,train
1,21,18,train
1,21,26,train
1,21,212,train
1,21,288,train
1,21,295,train
1,21,877,test
1,21,121,test
1,22,700,train
1,22,715,train
1,22,819,train
1,22,972,train
1,22,18,train
1,22,26,train
1,22,212,train
1,22,288,train
1,22,295,train
1,22,877,test
1,22,121,test
2,0,684,train
2,0,700,train
2,0,715,train
2,0,768,train
2,0,819,train
2,0,827,train
2,0,960,train
2,0,972,train
2,0,3,train
2,0,18,train
2,0,26,train
2,0,37,train
2,0,62,train
2,0,68,train
2,0,119,train
2,0,164,train
2,0,199,train
2,0,212,train
2,0,277,train
2,0,288,train
2,0,295,train
2,0,309,train
2,0,324,train
2,0,371,train
2,0,375,train
2,0,408,train
2,0,804,test
2,0,877,test
2,0,59,test
2,0,121,test
2,0,145,test
2,0,215,test
2,0,339,test
2,0,399,test
2,1,684,train
2,1,700,train
2,1,715,train
2,1,768,train
2,1,819,train
2,1,827,train
2,1,960,train
2,1,972,train
2,1,3,train
2,1,18,train
2,1,26,train
2,1,37,train
2,1,62,train
2,1,68,train
2,1,119,train
2,1,164,train
2,1,199,train
2,1,212,train
2,1,277,train
2,1,288,train
2,1,295,train
2,1,309,train
2,1,324,train
2,1,371,train
2,1,375,train
2,1,408,train
2,1,804,test
2,1,877,test
2,1,59,test
2,1,121,test
2,1,145,test
2,1,215,test
2,1,339,test
2,1,399,test
2,2,684,train
2,2,700,train
2,2,715,train
2,2,768,train
2,2,819,train
2,2,827,train
2,2,960,train
2,2,972,train
2,2,3,train
2,2,18,train
2,2,26,train
2,2,37,train
2,2,62,train
2,2,68,train
2,2,119,train
2,2,164,train
2,2,199,train
2,2,212,train
2,2,277,train
2,2,288,train
2,2,295,train
2,2,309,train
2,2,324,train
2,2,371,train
2,2,375,train
2,2,408,train
2,2,804,test
2,2,877,test
2,2,59,test
2,2,121,test
2,2,145,test
2,2,215,test
2,2,339,test
2,2,399,test
2,3,684,train
2,3,700,train
2,3,715,train
2,3,768,train
2,3,819,train
2,3,827,train
2,3,960,train
2,3,972,train
2,3,3,train
2,3,18,train
2,3,26,train
2,3,37,train
2,3,62,train
2,3,68,train
2,3,119,train
2,3,164,train
2,3,199,train
2,3,212,train
2,3,277,train
2,3,288,train
2,3,295,train
2,3,309,train
2,3,324,train
2,3,371,train
2,3,375,train
2,3,408,train
2,3,804,test
2,3,877,test
2,3,59,test
2,3,121,test
2,3,145,test
2,3,215,test
2,3,339,test
2,3,399,test
2,4,684,train
2,4,700,train
2,4,715,train
2,4,768,train
2,4,819,train
2,4,827,train
2,4,960,train
2,4,972,train
2,4,3,train
2,4,18,train
2,4,26,train
2,4,37,train
2,4,62,train
2,4,68,train
2,4,119,train
2,4,164,train
2,4,199,train
2,4,212,train
2,4,277,train
2,4,288,train
2,4,295,train
2,4,309,train
2,4,324,train
2,4,371,train
2,4,375,train
2,4,408,train
2,4,804,test
2,4,877,test
2,4,59,test
2,4,121,test
2,4,145,test
2,4,215,test
2,4,339,test
2,4,399,test
2,5,684,train
2,5,700,train
2,5,715,train
2,5,768,train
2,5,819,train
2,5,827,train
2,5,960,train
2,5,972,train
2,5,3,train
2,5,18,train
2,5,26,train
2,5,37,train
2,5,62,train
2,5,68,train
2,5,119,train
2,5,164,train
2,5,199,train
2,5,212,train
2,5,277,train
2,5,288,train
2,5,295,train
2,5,309,train
2,5,324,train
2,5,371,train
2,5,375,train
2,5,408,train
2,5,804,test
2,5,877,test
2,5,59,test
2,5,121,test
2,5,145,test
2,5,215,test
2,5,339,test
2,5,399,test
2,6,684,train
2,6,700,train
2,6,715,train
2,6,768,train
2,6,819,train
2,6,827,train
2,6,960,train
2,6,972,train
2,6,3,train
2,6,18,train
2,6,26,train
2,6,37,train
2,6,62,train
2,6,68,train
2,6,119,train
2,6,164,train
2,6,199,train
2,6,212,train
2,6,277,train
2,6,288,train
2,6,295,train
2,6,309,train
2,6,324,train
2,6,371,train
2,6,375,train
2,6,408,train
2,6,804,test
2,6,877,test
2,6,121,test
2,6,145,test
2,6,215,test
2,6,339,test
2,6,399,test
2,7,684,train
2,7,700,train
2,7,715,train
2,7,768,train
2,7,819,train
2,7,827,train
2,7,960,train
2,7,972,train
2,7,3,train
2,7,18,train
2,7,26,train
2,7,37,train
2,7,62,train
2,7,68,train
2,7,119,train
2,7,164,train
2,7,199,train
2,7,212,train
2,7,277,train
2,7,288,train
2,7,295,train
2,7,309,train
2,7,324,train
2,7,371,train
2,7,375,train
2,7,408,train
2,7,804,test
2,7,877,test
2,7,121,test
2,7,145,test
2,7,215,test
2,7,339,test
2,7,399,test
2,8,684,train
2,8,700,train
2,8,715,train
2,8,768,train
2,8,819,train
2,8,827,train
2,8,960,train
2,8,972,train
2,8,3,train
2,8,18,train
2,8,26,train
2,8,37,train
2,8,62,train
2,8,68,train
2,8,119,train
2,8,164,train
2,8,199,train
2,8,212,train
2,8,277,train
2,8,288,train
2,8,295,train
2,8,309,train
2,8,324,train
2,8,371,train
2,8,375,train
2,8,408,train
2,8,804,test
2,8,877,test
2,8,121,test
2,8,145,test
2,8,215,test
2,8,339,test
2,8,399,test
2,9,684,train
2,9,700,train
2,9,715,train
2,9,768,train
2,9,819,train
2,9,827,train
2,9,960,train
2,9,972,train
2,9,3,train
2,9,18,train
2,9,26,train
2,9,37,train
2,9,62,train
2,9,68,train
2,9,119,train
2,9,164,train
2,9,199,train
2,9,212,train
2,9,277,train
2,9,288,train
2,9,295,train
2,9,324,train
2,9,371,train
2,9,375,train
2,9,408,train
2,9,804,test
2,9,877,test
2,9,121,test
2,9,145,test
2,9,215,test
2,9,339,test
2,9,399,test
2,10,684,train
2,10,700,train
2,10,715,train
2,10,768,train
2,10,819,train
2,10,827,train
2,10,960,train
2,10,972,train
2,10,3,train
2,10,18,train
2,10,26,train
2,10,37,train
2,10,62,train
2,10,68,train
2,10,119,train
2,10,164,train
2,10,199,train
2,10,212,train
2,10,277,train
2,10,288,train
2,10,295,train
2,10,324,train
2,10,371,train
2,10,375,train
2,10,408,train
2,10,804,test
2,10,877,test
2,10,121,test
2,10,145,test
2,10,215,test
2,10,339,test
2,10,399,test
2,11,684,train
2,11,700,train
2,11,715,train
2,11,768,train
2,11,819,train
2,11,827,train
2,11,960,train
2,11,972,train
2,11,3,train
2,11,18,train
2,11,26,train
2,11,37,train
2,11,62,train
2,11,68,train
2,11,119,train
2,11,164,train
2,11,199,train
2,11,212,train
2,11,277,train
2,11,288,train
2,11,295,train
2,11,324,train
2,11,371,train
2,11,375,train
2,11,408,train
2,11,804,test
2,11,877,test
2,11,121,test
2,11,145,test
2,11,215,test
2,11,339,test
2,11,399,test
2,12,684,train
2,12,700,train
2,12,715,train
2,12,768,train
2,12,819,train
2,12,827,train
2,12,960,train
2,12,972,train
2,12,3,train
2,12,18,train
2,12,26,train
2,12,37,train
2,12,62,train
2,12,68,train
2,12,119,train
2,12,164,train
2,12,199,train
2,12,212,train
2,12,277,train
2,12,288,train
2,12,295,train
2,12,324,train
2,12,371,train
2,12,375,train
2,12,408,train
2,12,804,test
2,12,877,test
2,12,121,test
2,12,145,test
2,12,215,test
2,12,339,test
2,12,399,test
2,13,684,train
2,13,700,train
2,13,715,train
2,13,768,train
2,13,819,train
2,13,960,train
2,13,972,train
2,13,18,train
2,13,26,train
2,13,37,train
2,13,68,train
2,13,119,train
2,13,164,train
2,13,199,train
2,13,212,train
2,13,288,train
2,13,295,train
2,13,371,train
2,13,408,train
2,13,804,test
2,13,877,test
2,13,121,test
2,13,145,test
2,13,215,test
2,13,339,test
2,13,399,test
2,14,684,train
2,14,700,train
2,14,715,train
2,14,768,train
2,14,819,train
2,14,960,train
2,14,972,train
2,14,18,train
2,14,26,train
2,14,68,train
2,14,119,train
2,14,212,train
2,14,288,train
2,14,295,train
2,14,371,train
2,14,408,train
2,14,804,test
2,14,877,test
2,14,121,test
2,14,145,test
2,14,215,test
2,15,684,train
2,15,700,train
2,15,715,train
2,15,768,train
2,15,819,train
2,15,960,train
2,15,972,train
2,15,18,train
2,15,26,train
2,15,68,train
2,15,119,train
2,15,212,train
2,15,288,train
2,15,295,train
2,15,371,train
2,15,877,test
2,15,121,test
2,15,215,test
2,16,684,train
2,16,700,train
2,16,715,train
2,16,768,train
2,16,819,train
2,16,972,train
2,16,18,train
2,16,26,train
2,16,68,train
2,16,119,train
2,16,212,train
2,16,288,train
2,16,295,train
2,16,371,train
2,16,877,test
2,16,121,test
2,16,215,test
2,17,684,train
2,17,700,train
2,17,715,train
2,17,768,train
2,17,819,train
2,17,972,train
2,17,18,train
2,17,26,train
2,17,68,train
2,17,119,train
2,17,212,train
2,17,288,train
2,17,295,train
2,17,877,test
2,17,121,test
2,18,684,train
2,18,700,train
2,18,715,train
2,18,768,train
2,18,819,train
2,18,972,train
2,18,18,train
2,18,26,train
2,18,68,train
2,18,119,train
2,18,212,train
2,18,288,train
2,18,295,train
2,18,877,test
2,18,121,test
2,19,684,train
2,19,700,train
2,19,715,train
2,19,819,train
2,19,972,train
2,19,18,train
2,19,26,train
2,19,119,train
2,19,212,train
2,19,288,train
2,19,295,train
2,19,877,test
2,19,121,test
2,20,700,train
2,20,715,train
2,20,819,train
2,20,972,train
2,20,18,train
2,20,26,train
2,20,212,train
2,20,288,train
2,20,295,train
2,20,877,test
2,20,121,test
2,21,700,train
2,21,715,train
