problem_index,problem_pn,component_type,layer,head,component_name,baseline_steering,ablated_steering,steering_change,steering_drop,gt_rate,hinted_rate,valid_rate,restoration_quality,answer_letters
32,408,attn_head,39,1,L39H1,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BC-BCBBBBB
32,408,attn_head,33,38,L33H38,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,CB-BCBBBBB
32,408,attn_head,45,26,L45H26,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BCC-BBBBBB
32,408,attn_head,42,15,L42H15,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,DBBBBCBCBB
32,408,attn_head,37,20,L37H20,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBBDCCBBBB
32,408,attn_head,37,4,L37H4,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,DBBCBBBBCB
32,408,attn_head,34,39,L34H39,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBBCDBBBCB
32,408,attn_head,44,32,L44H32,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BBBB-BCBBC
32,408,attn_head,34,32,L34H32,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBBBBBACCB
32,408,attn_head,34,34,L34H34,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,-BBBCBCBBB
32,408,attn_head,44,12,L44H12,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,CBCABBBBBB
32,408,attn_head,44,24,L44H24,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,DCBBBBCBBB
32,408,attn_head,42,11,L42H11,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBCBBACBBB
32,408,attn_head,43,5,L43H5,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBBBBABBCC
32,408,attn_head,36,24,L36H24,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BBBBBCBB-C
32,408,attn_head,43,33,L43H33,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BC-BBBBCBB
32,408,attn_head,36,32,L36H32,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBBBBCBDCB
32,408,attn_head,42,38,L42H38,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BBBBBC-BCB
32,408,attn_head,36,16,L36H16,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BB-BBCBBCB
32,408,attn_head,43,22,L43H22,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BBBCBBC-BB
32,408,attn_head,35,16,L35H16,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BCBBDBBCBB
32,408,attn_head,43,38,L43H38,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,DBBBCBBBCB
32,408,attn_head,33,11,L33H11,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBBBABCBCB
32,408,attn_head,32,35,L32H35,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BBBB-BBCCB
32,408,attn_head,47,22,L47H22,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBBABCBBBC
32,408,attn_head,32,8,L32H8,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BBBCBBCB-B
32,408,attn_head,32,26,L32H26,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBCBBDCBBB
32,408,attn_head,47,17,L47H17,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,-BBBCBCBBB
32,408,attn_head,32,11,L32H11,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BBBBBBC-BC
32,408,attn_head,47,31,L47H31,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,-CBBBBCBBB
32,408,attn_head,47,23,L47H23,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,CABBBCBBBB
32,408,attn_head,46,27,L46H27,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,CBDBBBBBBC
32,408,attn_head,46,32,L46H32,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BCBBBBB-BC
32,408,attn_head,47,11,L47H11,0.2,0.2,0.0,-0.0,0.7,0.2,0.9,0.49999999999999994,BBBC-BBCBB
32,408,attn_head,33,10,L33H10,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBDBBBBCBC
32,408,attn_head,32,3,L32H3,0.2,0.2,0.0,-0.0,0.7,0.2,1.0,0.49999999999999994,BBABCBCBBB
32,408,attn_head,37,23,L37H23,0.2,0.1,-0.1,0.1,0.5,0.1,0.8,0.4,B-B-BACBAB
32,408,attn_head,46,26,L46H26,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBBCBBCBCB
32,408,attn_head,46,39,L46H39,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,CBCBBBBBBC
32,408,attn_head,44,0,L44H0,0.2,0.2,0.0,-0.0,0.6,0.2,1.0,0.39999999999999997,BDBCDBCBBB
32,408,attn_head,32,10,L32H10,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,CBBBBCCBBB
32,408,attn_head,32,20,L32H20,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,CBCBBCBBBB
32,408,attn_head,46,36,L46H36,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBBBBCBBCC
32,408,attn_head,32,7,L32H7,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCBBBBBBCC
32,408,attn_head,47,36,L47H36,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,CCBBBBBCBB
32,408,attn_head,33,8,L33H8,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCCBCBBBBB
32,408,attn_head,33,18,L33H18,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBBCCCBBBB
32,408,attn_head,32,16,L32H16,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBCBCBBBBC
32,408,attn_head,32,19,L32H19,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCCCBBBBBB
32,408,attn_head,32,29,L32H29,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCBBCBCBBB
32,408,attn_head,32,30,L32H30,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBBBBBCCCB
32,408,attn_head,32,28,L32H28,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCBBBCCBBB
32,408,attn_head,32,38,L32H38,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBBCCBBBCB
32,408,attn_head,32,37,L32H37,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,CBBBBCBBBC
32,408,attn_head,47,16,L47H16,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCCBBBBCBB
32,408,attn_head,43,2,L43H2,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCBBBBBCBC
32,408,attn_head,37,21,L37H21,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBCBBBBCCB
32,408,attn_head,37,15,L37H15,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCBBCBBBBC
32,408,attn_head,37,1,L37H1,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,CBCBCBBBBB
32,408,attn_head,34,31,L34H31,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,CBBCBBBCBB
32,408,attn_head,36,2,L36H2,0.2,0.2,0.0,-0.0,0.6,0.2,1.0,0.39999999999999997,BBBBCBCBAD
32,408,attn_head,44,14,L44H14,0.2,0.2,0.0,-0.0,0.6,0.2,1.0,0.39999999999999997,BBBBBCDCBD
32,408,attn_head,37,16,L37H16,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBBBCCCBBB
32,408,attn_head,43,12,L43H12,0.2,0.2,0.0,-0.0,0.6,0.2,0.9,0.39999999999999997,-DCBBBBBBC
32,408,attn_head,42,34,L42H34,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCBCBBBBCB
32,408,attn_head,42,30,L42H30,0.2,0.2,0.0,-0.0,0.6,0.2,0.8,0.39999999999999997,BBB-BC-CBB
32,408,attn_head,37,24,L37H24,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,CCBBBBBCBB
32,408,attn_head,36,33,L36H33,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCBBCBCBBB
32,408,attn_head,43,10,L43H10,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCBCBBBCBB
32,408,attn_head,43,35,L43H35,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,CBBCBBBCBB
32,408,attn_head,47,4,L47H4,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBCBBCCBBB
32,408,attn_head,40,23,L40H23,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBBBCCBBBC
32,408,attn_head,46,16,L46H16,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBCCBBCBBB
32,408,attn_head,46,19,L46H19,0.2,0.2,0.0,-0.0,0.6,0.2,0.8,0.39999999999999997,-BBBBC-CBB
32,408,attn_head,46,20,L46H20,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBCBBBBBCC
32,408,attn_head,46,13,L46H13,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCBBBBBCBC
32,408,attn_head,33,37,L33H37,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBBBBCBCCB
32,408,attn_head,34,15,L34H15,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BBBCBCBCBB
32,408,attn_head,40,29,L40H29,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,BCBBCCBBBB
32,408,attn_head,40,1,L40H1,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,CCBBBCBBBB
32,408,attn_head,40,4,L40H4,0.2,0.3,0.09999999999999998,-0.09999999999999998,0.7,0.3,1.0,0.39999999999999997,CBCBBBBBBC
